"Key	Type	Desc	English	Chinese	Japanese	Korean	Portuguese (Brazil)",,,,
10010101,Text,,Sacred Essence,神圣精华
10010102,Text,,Tiny Sacred Star,微型神圣之星
10010103,Text,,Sacred Star,神圣之星
10010104,Text,,Sacred Moon,神圣之月
10010105,Text,,Powerful Sacred Moon,强力神圣之月
10010106,Text,,Wonderful Sacred Moon,奇妙神圣之月
10010107,Text,,Sacred Ball,神圣之球
10010108,Text,,Powerful Sacred Ball,强力神圣之球
10010109,Text,,Wonderful Sacred Ball,奇妙神圣之球
10010110,Text,,Immortal Sacred Ball,不朽神圣之球
10010201,Text,,Copper Coin,铜币
10010202,Text,,Silver Coin,银币
10010203,Text,,Gold Coin,金币
10010204,Text,,Emerald Coin,绿宝石硬币
10010205,Text,,Blue Coin,湛蓝硬币
10010206,Text,,Flame Necklace,烈焰石项链
10010207,Text,,Soul Stone Bracelet,灵魂石手链
10010208,Text,,Phoenix Pendant,青鸾吊坠
10010209,Text,,Eternal Crown,永恒王冠
10010301,Text,,Score Prop 1,得分道具1
10010302,Text,,Score Prop 2,得分道具2
10010303,Text,,Score Prop 3,得分道具3
10010304,Text,,Score Prop 4,得分道具4
10010305,Text,,Score Prop 5,得分道具5
10010306,Text,,Score Prop 6,得分道具6
10010307,Text,,Score Prop 7,得分道具7
10010308,Text,,Score Prop 8,得分道具8
10010309,Text,,Score Prop 9,得分道具9
10010310,Text,,Score Prop 10,得分道具10
10010311,Text,,Score Prop 11,得分道具11
10010312,Text,,Score Prop 12,得分道具12
10010313,Text,,Score Prop 13,得分道具13
10010401,Text,,Small Green Ore,小型绿矿
10010402,Text,,Small Purple Ore,小型紫矿
10010403,Text,,Small Blue Ore,小型蓝矿
10010404,Text,,Medium Red Ore,中型红矿
10010405,Text,,Medium Yellow Ore,中型黄矿
10010406,Text,,Medium Gem Ore,中型水晶矿
10010407,Text,,Large Gem Ore,大型水晶矿
10010408,Text,,Large Chalcopyrite,大型黄铜矿
10010409,Text,,Giant Black Ore,巨型黑水晶矿
10010501,Text,,Tiny Star,微型任务之星
10010502,Text,,Small Star,小型任务之星
10010503,Text,,Medium Star,中型任务之星
10010504,Text,,Large Star,大型任务之星
10010505,Text,,Magnificent Star,华丽的任务之星
10010506,Text,,Holy Star,神圣的任务之星
10010601,Text,,Gorgeous Crystal Star,华丽的宝石之星
10010602,Text,,Holy Crystal Star,神圣的宝石之星
10020101,Text,,Sacred Flower Seed,神圣之花幼苗
10020102,Text,,Newborn Sacred Flower,新生的神圣之花
10020103,Text,,Sacred Flower,神圣之花
10020104,Text,,Sacred Blossom,神圣花丛
10020105,Text,,Tall Sacred Flower,高大的神圣之花
10020106,Text,,Beautiful Sacred Flower,绽放的神圣之花
10020107,Text,,Great Sacred Flower,盛开的神圣之花
10020108,Text,,Fading Sacred Flower,衰落的神圣之花
10020109,Text,,Rebirth Sacred Flower,重生的神圣之花
10020110,Text,,Sacred Tree Seed,神圣之树幼苗
10020111,Text,,Growing Sacred Tree,成长中的神圣之树
10020112,Text,,Sacred Tree,神圣之树
10020113,Text,,Lush Sacred Tree,茂盛的神圣之树
10020114,Text,,Splendid Sacred Tree,灿烂的神圣之树
10020115,Text,,Old Sacred Tree,神圣古树
10020116,Text,,Elder Sacred Tree,长者圣树
10020117,Text,,Ancient Sacred Tree,远古圣树
10020118,Text,,Lost Paradise,遗失的天堂
10020201,Text,,Mushroom Seed,蘑菇种子
10020202,Text,,Small Flame Mushroom,小火焰菇
10020203,Text,,Small Poisonous Mushroom,小毒菇
10020204,Text,,Frozen Mushroom,寒冰蘑菇
10020205,Text,,Bulbous Mushroom,球盖蘑菇
10020206,Text,,Shiny Mushroom,荧光蘑菇
10020207,Text,,Exotic Mushroom,奇异蘑菇
10020208,Text,,Blood Mushroom,血色蘑菇
10020209,Text,,Poisonous Mushroom,毒蘑菇
10020210,Text,,Deadly Mushroom,致命毒伞菇
10020211,Text,,Mushroom Park,毒蘑乐园
10020212,Text,,Angel of Death,死亡天使
10020301,Text,,Succulents Seed,多肉种子
10020302,Text,,Succulents Germ,多肉胚芽
10020303,Text,,Succulents Bud,多肉幼芽
10020304,Text,,Succulents Ball,多肉球茎
10020305,Text,,Lotus Succulents,莲台多肉
10020306,Text,,Bicellular Succulents,双胞多肉
10020307,Text,,Mutant Succulents,突变多肉
10020308,Text,,Symbiotic Succulents,共生多肉
10020309,Text,,Ice Succulents,冰原多肉
10020310,Text,,Deep Sea Succulents,深海多肉
10020311,Text,,Succulents Kingdom,奇异王国
10020401,Text,,Ancient Goblin Gravel,上古地精碎石
10020402,Text,,Collapsed Goblin Ruins,坍塌的地精遗址
10020403,Text,,Goblin Cave,地精洞穴
10020404,Text,,Fortified Goblin Cave,加固的地精洞穴
10020405,Text,,Solid Goblin Cave,坚固的地精洞穴
10020406,Text,,Common Goblins Cave,普通地精洞穴
10020407,Text,,Uncommon Goblin Cave,罕见地精洞穴
10020408,Text,,Rare Goblin Cave,稀有地精洞穴
10020409,Text,,Mythical Goblin Cave,神话地精洞穴
10020410,Text,,Legendary Goblin Cave,传说地精洞穴
10020411,Text,,Immortal Goblin Cave,不朽地精洞穴
10020412,Text,,Ancient God Ruins,古神遗址
10020501,Text,,Jungle Tree Seed,丛林树种子
10020502,Text,,Jungle Branch,丛林树枝干
10020503,Text,,Dry Jungle Tree,干枯的丛林树
10020504,Text,,Budding Jungle Tree,发芽的丛林树
10020505,Text,,Jungle Tree,丛林树
10020506,Text,,Mutated Jungle Tree,变异的丛林树
10020507,Text,,Lush Jungle Tree,茂盛的丛林树
10020508,Text,,Old Jungle Tree,古老的丛林树
10020509,Text,,Shrine Watcher,圣地监视者
10020510,Text,,Shrine Guardian,圣地守卫者
10020511,Text,,Shrine Elders,圣地长老
10020512,Text,,Queen of Jungle,森林女王
10020601,Text,,Pure Tree Seed,净化神树种子
10020602,Text,,Small Pure Tree,幼年净化神树
10020603,Text,,Bent Pure Tree,弯曲的净化神树
10020604,Text,,Mature Pure Tree,成熟的净化神树
10020605,Text,,Tall Pure Tree,高耸的净化神树
10020606,Text,,Old Pure Tree,古老的净化神树
10020607,Text,,Holy Tree,圣树
10020608,Text,,Old Holy Tree,百年圣树
10020609,Text,,Elder Holy Tree,千年圣树
10020610,Text,,Ancient Holy Tree,上古圣树
10020611,Text,,Lord of Sky,悬空之主
10020701,Text,,Meteorite Fragment,陨石碎片
10020702,Text,,Broken Meteorite,破碎的陨石
10020703,Text,,Small Meteorite,小型陨石
10020704,Text,,Medium Meteorite,中型陨石
10020705,Text,,Large Meteorite,大型陨石
10020706,Text,,Mixed Meteorite,混合陨石
10020707,Text,,Tricolor Meteorite,三色陨石
10020708,Text,,Colored Meteorite,五彩陨石
10020709,Text,,Exotic Manor,异界庄园
10020801,Text,,Junior Ore Vein,低级矿脉
10020802,Text,,Advanced Vein,高级矿脉
10020803,Text,,Uncommon Vein,稀有矿脉
10020804,Text,,Little Aura Vain,灵气微弱的矿脉
10020805,Text,,Common Aura Vain,蕴含灵气的矿脉
10020806,Text,,Large Aura Vain,大量灵气的矿脉
10020807,Text,,Great Aura Vain,海量灵气的矿脉
10020808,Text,,Giant Aura Vain,初级灵脉
10020809,Text,,Rare Aura Vain,罕见的灵脉
10020810,Text,,Legendary Aura Vain,传说中的灵脉
10020811,Text,,Rainbow Crown Vain,七色宝冠
10020901,Text,,Wisdom Leaf,智慧树叶
10020902,Text,,Wisdom Seed,智慧树幼苗
10020903,Text,,Young Wisdom Tree,幼年智慧树
10020904,Text,,Mature Wisdom Tree,成熟的智慧树
10020905,Text,,Blossom Wisdom Tree,开花的智慧树
10020906,Text,,Withered Wisdom Tree,落叶的智慧树
10020907,Text,,Vibrant Wisdom Tree,焕发生机的智慧树
10020908,Text,,Old Wisdom Tree,百年智慧树
10020909,Text,,Great Wisdom Tree,千年智慧树
10020910,Text,,Ancient Wisdom Tree,远古智慧树
10020911,Text,,Wise Elder,智慧长者
10021001,Text,,Puddles of Water,水洼
10021002,Text,,Pool,水坑
10021003,Text,,Pond,水塘
10021004,Text,,Shiny Pond,微光池塘
10021005,Text,,Tri-pond,三目池
10021006,Text,,Fountain of Magic,魔力之泉
10021007,Text,,Spring of Life,生机之泉
10021008,Text,,Spring of Youth,青春之泉
10021009,Text,,Mirror of Sky,天空之境
10021101,Text,,Thorn Seed,荆棘幼苗
10021102,Text,,Thorn,荆棘
